Athlete,Age,Year,Closing Ceremony Date,Gold Medals,Silver Medals,Bronze Medals,Total Medals
Steven Burke,20,2008,08/24/2008,0,0,1,1
Anne-Caroline Chausson,30,2008,08/24/2008,1,0,0,1
Michael Færk Christensen,22,2008,08/24/2008,0,1,0,1
Ed Clancy,23,2008,08/24/2008,1,0,0,1
Nicole Cooke,25,2008,08/24/2008,1,0,0,1
Juan Esteban Curuchet,43,2008,08/24/2008,1,0,0,1
Mike Day,23,2008,08/24/2008,0,1,0,1
Ross Edgar,25,2008,08/24/2008,0,1,0,1
René Enders,21,2008,08/24/2008,0,0,1,1
Yoanka González,32,2008,08/24/2008,0,1,0,1
Westley Gough,20,2008,08/24/2008,0,0,1,1
Tania Guderzo,23,2008,08/24/2008,0,0,1,1
Guo Shuang,22,2008,08/24/2008,0,0,1,1
Wendy Houvenaghel,33,2008,08/24/2008,0,1,0,1
Mikhail Ignatyev,23,2008,08/24/2008,0,0,1,1
Emma Johansson,24,2008,08/24/2008,0,1,0,1
Casper Jørgensen,22,2008,08/24/2008,0,1,0,1
Irina Kalentyeva,30,2008,08/24/2008,0,0,1,1
Lesia Kalytovska,20,2008,08/24/2008,0,0,1,1
Jill Kintner,26,2008,08/24/2008,0,0,1,1
Roger Kluge,22,2008,08/24/2008,0,1,0,1
Aleksandr Kolobnev,27,2008,08/24/2008,0,0,1,1
Gustav Larsson,27,2008,08/24/2008,0,1,0,1
Laëtitia Le Corguillé,22,2008,08/24/2008,0,1,0,1
Levi Leipheimer,34,2008,08/24/2008,0,0,1,1
Maximilian Levy,21,2008,08/24/2008,0,0,1,1
Jens-Erik Madsen,27,2008,08/24/2008,0,1,0,1
Paul Manning,33,2008,08/24/2008,1,0,0,1
Aleksey Markov,29,2008,08/24/2008,0,0,1,1
Anna Meares,24,2008,08/24/2008,0,1,0,1
Michael Mørkøv,23,2008,08/24/2008,0,1,0,1
Kiyofumi Nagai,25,2008,08/24/2008,0,0,1,1
Chris Newton,34,2008,08/24/2008,0,0,1,1
Stefan Nimke,30,2008,08/24/2008,0,0,1,1
Leire Olaberria,31,2008,08/24/2008,0,0,1,1
Vicki Pendleton,27,2008,08/24/2008,1,0,0,1
Jean-Christophe Péraud,31,2008,08/24/2008,0,1,0,1
Walter Pérez,35,2008,08/24/2008,1,0,0,1
Emma Pooley,25,2008,08/24/2008,0,1,0,1
Alex Rasmussen,24,2008,08/24/2008,0,1,0,1
Donny Robinson,25,2008,08/24/2008,0,0,1,1
Rebecca Romero,28,2008,08/24/2008,1,0,0,1
Marc Ryan,25,2008,08/24/2008,0,0,1,1
Samuel Sánchez,30,2008,08/24/2008,1,0,0,1
Nino Schurter,22,2008,08/24/2008,0,0,1,1
Jesse Sergent,20,2008,08/24/2008,0,0,1,1
Kévin Sireau,21,2008,08/24/2008,0,1,0,1
Sabine Spitz,36,2008,08/24/2008,1,0,0,1
Jamie Staff,35,2008,08/24/2008,1,0,0,1
Maris Štrombergs,21,2008,08/24/2008,1,0,0,1
Toni Tauler,34,2008,08/24/2008,0,1,0,1
Geraint Thomas,22,2008,08/24/2008,1,0,0,1
Karin Thürig,36,2008,08/24/2008,0,0,1,1
Arnaud Tournant,30,2008,08/24/2008,0,1,0,1
Marianne Vos,21,2008,08/24/2008,1,0,0,1
Maja Wloszczowska,24,2008,08/24/2008,0,1,0,1
Tamila Abasova,21,2004,08/29/2004,0,1,0,1
Julien Absalon,24,2004,08/29/2004,1,0,0,1
Judith Arndt,28,2004,08/29/2004,0,1,0,1
Paolo Bettini,30,2004,08/29/2004,1,0,0,1
Theo Bos,21,2004,08/29/2004,0,1,0,1
Mickaël Bourgain,24,2004,08/29/2004,0,0,1,1
Bart Brentjens,35,2004,08/29/2004,0,0,1,1
María Luisa Calle,35,2004,08/29/2004,0,0,1,1
Sara Carrigan,23,2004,08/29/2004,1,0,0,1
Carlos Castaño,25,2004,08/29/2004,0,0,1,1
Steve Cummings,23,2004,08/29/2004,0,1,0,1
Gunn Rita Dahle-Flesjå,31,2004,08/29/2004,1,0,0,1
Peter Dawson,22,2004,08/29/2004,1,0,0,1
Dede Demet-Barry,31,2004,08/29/2004,0,1,0,1
José Antonio Escuredo,34,2004,08/29/2004,0,1,0,1
Jens Fiedler,34,2004,08/29/2004,1,0,0,1
Guido Fulst,34,2004,08/29/2004,0,0,1,1
Toshiaki Fushimi,28,2004,08/29/2004,0,1,0,1
Laurent Gané,31,2004,08/29/2004,0,0,1,1
Belem Guerrero,30,2004,08/29/2004,0,1,0,1
Tyler Hamilton,33,2004,08/29/2004,1,0,0,1
José Antonio Hermida,26,2004,08/29/2004,0,1,0,1
Chris Hoy,28,2004,08/29/2004,1,0,0,1
Mikhail Ignatyev,19,2004,08/29/2004,1,0,0,1
Masaki Inoue,25,2004,08/29/2004,0,1,0,1
Jiang Yonghua,30,2004,08/29/2004,0,1,0,1
Bobby Julich,32,2004,08/29/2004,0,0,1,1
Shane Kelly,32,2004,08/29/2004,0,0,1,1
Brett Lancaster,24,2004,08/29/2004,1,0,0,1
Joan Llaneras,35,2004,08/29/2004,0,1,0,1
Katie Mactier,29,2004,08/29/2004,0,1,0,1
Asier Maeztu,26,2004,08/29/2004,0,0,1,1
Paul Manning,29,2004,08/29/2004,0,1,0,1
Franco Marvulli,25,2004,08/29/2004,0,1,0,1
Axel Merckx,32,2004,08/29/2004,0,0,1,1
Lori-Ann Muenzer,38,2004,08/29/2004,1,0,0,1
Tomohiro Nagatsuka,25,2004,08/29/2004,0,1,0,1
Chris Newton,30,2004,08/29/2004,0,1,0,1
Stuart O'Grady,31,2004,08/29/2004,1,0,0,1
Sérgio Paulinho,24,2004,08/29/2004,0,1,0,1
Marie-Hélène Prémont,26,2004,08/29/2004,0,1,0,1
Bruno Risi,35,2004,08/29/2004,0,1,0,1
Luke Roberts,27,2004,08/29/2004,1,0,0,1
Sabine Spitz,32,2004,08/29/2004,0,0,1,1
Bryan Steel,35,2004,08/29/2004,0,1,0,1
Karin Thürig,32,2004,08/29/2004,0,0,1,1
Carlos Torrent,29,2004,08/29/2004,0,0,1,1
Nataliya Tsilinskaya,28,2004,08/29/2004,0,0,1,1
Sarah Ulmer,28,2004,08/29/2004,1,0,0,1
Stephen Wooldridge,26,2004,08/29/2004,1,0,0,1
Vyacheslav Yekimov,38,2004,08/29/2004,0,1,0,1
Brett Aitken,29,2000,10/01/2000,1,0,0,1
Lance Armstrong,29,2000,10/01/2000,0,0,1,1
Daniel Becke,22,2000,10/01/2000,1,0,0,1
Antonella Bellutti,31,2000,10/01/2000,1,0,0,1
Barbara Blatter,29,2000,10/01/2000,0,1,0,1
Serhiy Cherniavskiy,24,2000,10/01/2000,0,1,0,1
Jonny Clay,37,2000,10/01/2000,0,0,1,1
Marion Clignet,36,2000,10/01/2000,0,1,0,1
Étienne De Wilde,42,2000,10/01/2000,0,1,0,1
Sean Eadie,31,2000,10/01/2000,0,0,1,1
Oleksandr Fedenko,29,2000,10/01/2000,0,1,0,1
Michelle Ferris,23,2000,10/01/2000,0,1,0,1
Marga Fullana,28,2000,10/01/2000,0,0,1,1
Guido Fulst,30,2000,10/01/2000,1,0,0,1
Laurent Gané,27,2000,10/01/2000,1,0,0,1
Matthew Gilmore,28,2000,10/01/2000,0,1,0,1
Oksana Grishina,31,2000,10/01/2000,0,1,0,1
Darryn Hill,26,2000,10/01/2000,0,0,1,1
Mari Holden,29,2000,10/01/2000,0,1,0,1
Chris Hoy,24,2000,10/01/2000,0,1,0,1
Jiang Cuihua,25,2000,10/01/2000,0,0,1,1
Shane Kelly,28,2000,10/01/2000,0,0,1,1
Andreas Klöden,25,2000,10/01/2000,0,0,1,1
Hanka Kupfernagel,26,2000,10/01/2000,0,1,0,1
Joan Llaneras,31,2000,10/01/2000,1,0,0,1
Jeannie Longo-Ciprelli,41,2000,10/01/2000,0,0,1,1
Craig MacLean,29,2000,10/01/2000,0,1,0,1
Paul Manning,25,2000,10/01/2000,0,0,1,1
Aleksey Markov,21,2000,10/01/2000,0,0,1,1
Silvio Martinello,37,2000,10/01/2000,0,0,1,1
Miguel Martinez,24,2000,10/01/2000,1,0,0,1
Serhiy Matvieiev,25,2000,10/01/2000,0,1,0,1
Brad McGee,24,2000,10/01/2000,0,0,1,1
Yvonne McGregor,39,2000,10/01/2000,0,0,1,1
Scott McGrory,30,2000,10/01/2000,1,0,0,1
Filip Meirhaeghe,29,2000,10/01/2000,0,1,0,1
Chris Newton,26,2000,10/01/2000,0,0,1,1
Stefan Nimke,22,2000,10/01/2000,0,1,0,1
Marty Nothstein,29,2000,10/01/2000,1,0,0,1
Paola Pezzo,31,2000,10/01/2000,1,0,0,1
Olaf Pollack,26,2000,10/01/2000,1,0,0,1
Christoph Sauser,24,2000,10/01/2000,0,0,1,1
Olga Slyusareva,31,2000,10/01/2000,0,0,1,1
Bryan Steel,31,2000,10/01/2000,0,0,1,1
Oleksandr Symonenko,26,2000,10/01/2000,0,1,0,1
Arnaud Tournant,22,2000,10/01/2000,1,0,0,1
Marco Villa,31,2000,10/01/2000,0,0,1,1
Aleksandr Vinokurov,27,2000,10/01/2000,0,1,0,1
Bradley Wiggins,20,2000,10/01/2000,0,0,1,1
Milton Wynants,28,2000,10/01/2000,0,1,0,1
Iryna Yanovych,24,2000,10/01/2000,0,0,1,1
Vyacheslav Yekimov,34,2000,10/01/2000,1,0,0,1
Diana Žiliute,24,2000,10/01/2000,0,0,1,1
Cori Bartel,38,2010,02/28/2010,0,1,0,1
Cheryl Bernard,43,2010,02/28/2010,0,1,0,1
Carolyn Darbyshire-McRory,46,2010,02/28/2010,0,1,0,1
Markus Eggler,41,2010,02/28/2010,0,0,1,1
Adam Enright,26,2010,02/28/2010,1,0,0,1
Jan Hauser,25,2010,02/28/2010,0,0,1,1
Ben Hebert,26,2010,02/28/2010,1,0,0,1
Marc Kennedy,28,2010,02/28/2010,1,0,0,1
Cathrine Lindahl,39,2010,02/28/2010,1,0,0,1
Liu Yin,28,2010,02/28/2010,0,0,1,1
Eva Lund,38,2010,02/28/2010,1,0,0,1
Kevin Martin,43,2010,02/28/2010,1,0,0,1
Kristie Moore,30,2010,02/28/2010,0,1,0,1
John Morris,31,2010,02/28/2010,1,0,0,1
Torger Nergård,35,2010,02/28/2010,0,1,0,1
Anette Norberg,43,2010,02/28/2010,1,0,0,1
Susan O'Connor,32,2010,02/28/2010,0,1,0,1
Håvard Vad Petersson,26,2010,02/28/2010,0,1,0,1
Ralph Stöckli,33,2010,02/28/2010,0,0,1,1
Simon Strübin,30,2010,02/28/2010,0,0,1,1
Christoffer Svae,27,2010,02/28/2010,0,1,0,1
Anna Svärd-Le Moine,36,2010,02/28/2010,1,0,0,1
Thomas Ulsrud,38,2010,02/28/2010,0,1,0,1
Wang Bingyu,25,2010,02/28/2010,0,0,1,1
Yue Qingshuang,24,2010,02/28/2010,0,0,1,1
Zhou Yan,27,2010,02/28/2010,0,0,1,1
Mike Adam,24,2006,02/26/2006,1,0,0,1
Glenys Bakker,43,2006,02/26/2006,0,0,1,1
Binia Beeli,27,2006,02/26/2006,0,1,0,1
Pete Fenson,37,2006,02/26/2006,0,0,1,1
Brad Gushue,25,2006,02/26/2006,1,0,0,1
Russ Howard,49,2006,02/26/2006,1,0,0,1
Sandra Jenkins,44,2006,02/26/2006,0,0,1,1
Christine Keshen,28,2006,02/26/2006,0,0,1,1
Kalle Kiiskinen,30,2006,02/26/2006,0,1,0,1
Shannon Kleibrink,37,2006,02/26/2006,0,0,1,1
Jamie Korab,26,2006,02/26/2006,1,0,0,1
Cathrine Lindahl,35,2006,02/26/2006,1,0,0,1
Eva Lund,34,2006,02/26/2006,1,0,0,1
Wille Mäkelä,31,2006,02/26/2006,0,1,0,1
Michèle Moser,26,2006,02/26/2006,0,1,0,1
Mark Nichols,26,2006,02/26/2006,1,0,0,1
Amy Nixon,28,2006,02/26/2006,0,0,1,1
Anette Norberg,39,2006,02/26/2006,1,0,0,1
Mirjam Ott,34,2006,02/26/2006,0,1,0,1
Joe Polo,23,2006,02/26/2006,0,0,1,1
Shawn Rojeski,34,2006,02/26/2006,0,0,1,1
Teemu Salo,32,2006,02/26/2006,0,1,0,1
John Shuster,23,2006,02/26/2006,0,0,1,1
Valeria Spälty,22,2006,02/26/2006,0,1,0,1
Anna Svärd-Le Moine,32,2006,02/26/2006,1,0,0,1
Markku Uusipaavalniemi,39,2006,02/26/2006,0,1,0,1
Don Bartlett,41,2002,02/24/2002,0,1,0,1
Laurence Bidaud,33,2002,02/24/2002,0,1,0,1
Flemming Davanger,38,2002,02/24/2002,1,0,0,1
Luzia Ebnöther,30,2002,02/24/2002,0,1,0,1
Markus Eggler,33,2002,02/24/2002,0,0,1,1
Tanya Frei,29,2002,02/24/2002,0,1,0,1
Damian Grichting,28,2002,02/24/2002,0,0,1,1
Debbie Knox,33,2002,02/24/2002,1,0,0,1
Kelley Law,36,2002,02/24/2002,0,0,1,1
Fiona MacDonald,27,2002,02/24/2002,1,0,0,1
Kevin Martin,35,2002,02/24/2002,0,1,0,1
Rhona Martin,35,2002,02/24/2002,1,0,0,1
Margaret Morton,34,2002,02/24/2002,1,0,0,1
Diane Nelson,43,2002,02/24/2002,0,0,1,1
Torger Nergård,27,2002,02/24/2002,1,0,0,1
Cheryl Noble,45,2002,02/24/2002,0,0,1,1
Mirjam Ott,30,2002,02/24/2002,0,1,0,1
Bent Ånund Ramsfjell,34,2002,02/24/2002,1,0,0,1
Marco Ramstein,23,2002,02/24/2002,0,0,1,1
Janice Rankin,30,2002,02/24/2002,1,0,0,1
Nadia Röthlisberger,29,2002,02/24/2002,0,1,0,1
Carter Rycroft,24,2002,02/24/2002,0,1,0,1
Andi Schwaller,31,2002,02/24/2002,0,0,1,1
Christof Schwaller,35,2002,02/24/2002,0,0,1,1
Julie Sutton-Skinner,33,2002,02/24/2002,0,0,1,1
Ken Tralnberg,45,2002,02/24/2002,0,1,0,1
Pål Trulsen,39,2002,02/24/2002,1,0,0,1
Lars Vågberg,34,2002,02/24/2002,1,0,0,1
Don Walchuk,38,2002,02/24/2002,0,1,0,1
Georgina Wheatcroft,36,2002,02/24/2002,0,0,1,1
Tobias Angerer,32,2010,02/28/2010,0,1,0,1
Lars Berger,30,2010,02/28/2010,0,1,0,1
Dario Cologna,23,2010,02/28/2010,1,0,0,1
Miriam Gössner,19,2010,02/28/2010,0,1,0,1
Odd-Bjørn Hjelmeset,38,2010,02/28/2010,0,1,0,1
Martin Jakš,23,2010,02/28/2010,0,0,1,1
Therese Johaug,21,2010,02/28/2010,1,0,0,1
Irina Khazova,25,2010,02/28/2010,0,0,1,1
Nataliya Korostelyova,28,2010,02/28/2010,0,0,1,1
Martin Koukal,31,2010,02/28/2010,0,0,1,1
Nikita Kryukov,24,2010,02/28/2010,1,0,0,1
Virpi Kuitunen,33,2010,02/28/2010,0,0,1,1
Riitta-Liisa Lassila-Roponen,31,2010,02/28/2010,0,0,1,1
Jirí Magál,32,2010,02/28/2010,0,0,1,1
Petra Majdic,30,2010,02/28/2010,0,0,1,1
Nikolay Morilov,23,2010,02/28/2010,0,0,1,1
Pirjo Muranen,28,2010,02/28/2010,0,0,1,1
Aleksandr Panzhinsky,20,2010,02/28/2010,0,1,0,1
Øystein Pettersen,27,2010,02/28/2010,1,0,0,1
Aleksey Petukhov,26,2010,02/28/2010,0,0,1,1
Pietro Piller Cottrer,35,2010,02/28/2010,0,1,0,1
Daniel Richardsson,27,2010,02/28/2010,1,0,0,1
Vibeke Skofterud,29,2010,02/28/2010,1,0,0,1
Kristina Šmigun-Vähi,32,2010,02/28/2010,0,1,0,1
Anders Södergren,32,2010,02/28/2010,1,0,0,1
Kristin Størmer Steira,28,2010,02/28/2010,1,0,0,1
Martin Johnsrud Sundby,25,2010,02/28/2010,0,1,0,1
Tim Tscharnke,20,2010,02/28/2010,0,1,0,1
Katrin Zeller,30,2010,02/28/2010,0,1,0,1
Ivan Alypov,23,2006,02/26/2006,0,0,1,1
Lina Andersson,24,2006,02/26/2006,1,0,0,1
Nataliya Baranova,30,2006,02/26/2006,1,0,0,1
Lukáš Bauer,28,2006,02/26/2006,0,1,0,1
Viola Bauer,29,2006,02/26/2006,0,1,0,1
Marit Bjørgen,25,2006,02/26/2006,0,1,0,1
Stefanie Böhler,24,2006,02/26/2006,0,1,0,1
Mikhail Botvinov,38,2006,02/26/2006,0,0,1,1
Antonella Confortola-Wyatt,30,2006,02/26/2006,0,0,1,1
Chandra Crawford,22,2006,02/26/2006,1,0,0,1
Anna Dahlberg-Olsson,29,2006,02/26/2006,1,0,0,1
Roddy Darragon,22,2006,02/26/2006,0,1,0,1
Frode Estil,33,2006,02/26/2006,0,1,0,1
Jens Filbrich,26,2006,02/26/2006,0,1,0,1
Arianna Follis,28,2006,02/26/2006,0,0,1,1
Mathias Fredriksson,33,2006,02/26/2006,0,0,1,1
Tor-Arne Hetland,32,2006,02/26/2006,0,1,0,1
Justyna Kowalczyk,23,2006,02/26/2006,0,0,1,1
Virpi Kuitunen,29,2006,02/26/2006,0,0,1,1
Larisa Kurkina,32,2006,02/26/2006,1,0,0,1
Mats Larsson,25,2006,02/26/2006,0,0,1,1
Johan Olsson,25,2006,02/26/2006,0,0,1,1
Gabriella Paruzzi,36,2006,02/26/2006,0,0,1,1
Hilde Gjermundshaug Pedersen,41,2006,02/26/2006,0,0,1,1
Sara Renner,29,2006,02/26/2006,0,1,0,1
Vasily Rochev,25,2006,02/26/2006,0,0,1,1
Aino-Kaisa Saarinen,27,2006,02/26/2006,0,0,1,1
Evi Sachenbacher-Stehle,25,2006,02/26/2006,0,1,0,1
Andreas Schlütter,33,2006,02/26/2006,0,1,0,1
Beckie Scott,31,2006,02/26/2006,0,1,0,1
Alyona Sidko,26,2006,02/26/2006,0,0,1,1
Anders Södergren,28,2006,02/26/2006,0,0,1,1
René Sommerfeldt,31,2006,02/26/2006,0,1,0,1
Jens Arne Svartedal,30,2006,02/26/2006,0,1,0,1
Fulvio Valbusa,37,2006,02/26/2006,1,0,0,1
Sabina Valbusa,34,2006,02/26/2006,0,0,1,1
Andrus Veerpalu,35,2006,02/26/2006,1,0,0,1
Cristian Zorzi,33,2006,02/26/2006,1,0,0,1
Brigitte Albrecht-Loretan,31,2002,02/24/2002,0,0,1,1
Tobias Angerer,24,2002,02/24/2002,0,0,1,1
Anders Aukland,29,2002,02/24/2002,1,0,0,1
Marit Bjørgen,21,2002,02/24/2002,0,1,0,1
Mikhail Botvinov,34,2002,02/24/2002,0,1,0,1
Giorgio Di Centa,29,2002,02/24/2002,0,1,0,1
Per Elofsson,24,2002,02/24/2002,0,0,1,1
Jens Filbrich,22,2002,02/24/2002,0,0,1,1
Manuela Henkel,27,2002,02/24/2002,1,0,0,1
Tor-Arne Hetland,28,2002,02/24/2002,1,0,0,1
Odd-Bjørn Hjelmeset,30,2002,02/24/2002,0,0,1,1
Christian Hoffmann,27,2002,02/24/2002,1,0,0,1
Andrea Huber,26,2002,02/24/2002,0,0,1,1
Mikhail Ivanov,24,2002,02/24/2002,1,0,0,1
Claudia Künzel-Nystad,24,2002,02/24/2002,1,0,0,1
Natascia Leonardi Cortesi,30,2002,02/24/2002,0,0,1,1
Jaak Mae,29,2002,02/24/2002,0,0,1,1
Fabio Maj,31,2002,02/24/2002,0,1,0,1
Gabriella Paruzzi,32,2002,02/24/2002,1,0,0,1
Hilde Gjermundshaug Pedersen,37,2002,02/24/2002,0,1,0,1
Pietro Piller Cottrer,27,2002,02/24/2002,0,1,0,1
Laurence Rochat,22,2002,02/24/2002,0,0,1,1
Peter Schlickenrieder,32,2002,02/24/2002,0,1,0,1
Andreas Schlütter,29,2002,02/24/2002,0,0,1,1
Beckie Scott,27,2002,02/24/2002,1,0,0,1
René Sommerfeldt,27,2002,02/24/2002,0,0,1,1
Hannes Aigner,23,2012,08/12/2012,0,0,1,1
Tim Baillie,33,2012,08/12/2012,1,0,0,1
Aleksandr Bogdanovich,30,2012,08/12/2012,0,1,0,1
Andrey Bogdanovich,24,2012,08/12/2012,0,1,0,1
Sebastian Brendel,24,2012,08/12/2012,1,0,0,1
David Cal,29,2012,08/12/2012,0,1,0,1
Lisa Carrington,23,2012,08/12/2012,1,0,0,1
Yuriy Cheban,26,2012,08/12/2012,1,0,0,1
Maialen Chourraut,29,2012,08/12/2012,0,0,1,1
Jacob Clear,27,2012,08/12/2012,1,0,0,1
Saúl Craviotto,27,2012,08/12/2012,0,1,0,1
Mark de Jonge,28,2012,08/12/2012,0,0,1,1
Rudolf Dombi,25,2012,08/12/2012,1,0,0,1
Josef Dostál,19,2012,08/12/2012,0,0,1,1
Aleksandr Dyachenko,22,2012,08/12/2012,1,0,0,1
Tony Estanguet,34,2012,08/12/2012,1,0,0,1
Krisztina Fazekas Zur,32,2012,08/12/2012,1,0,0,1
Emilie Fer,29,2012,08/12/2012,1,0,0,1
David Florence,29,2012,08/12/2012,0,1,0,1
Jess Fox,18,2012,08/12/2012,0,1,0,1
Bridgitte Hartley,29,2012,08/12/2012,0,0,1,1
Daniel Havel,20,2012,08/12/2012,0,0,1,1
Liam Heath,27,2012,08/12/2012,0,0,1,1
Pavol Hochschorner,32,2012,08/12/2012,0,0,1,1
Peter Hochschorner,32,2012,08/12/2012,0,0,1,1
Max Hoff,29,2012,08/12/2012,0,0,1,1
Martin Hollstein,25,2012,08/12/2012,0,0,1,1
Richard Hounslow,30,2012,08/12/2012,0,1,0,1
Vavrinec Hradílek,25,2012,08/12/2012,0,1,0,1
Andreas Ihle,33,2012,08/12/2012,0,0,1,1
Zoltán Kammerer,34,2012,08/12/2012,0,1,0,1
Olga Khudenko,20,2012,08/12/2012,0,0,1,1
Roland Kökény,36,2012,08/12/2012,1,0,0,1
Aleksey Korovashkov,20,2012,08/12/2012,0,0,1,1
Peter Kretschmer,20,2012,08/12/2012,1,0,0,1
Tamás Kulifai,23,2012,08/12/2012,0,1,0,1
Kurt Kuschela,23,2012,08/12/2012,1,0,0,1
Eirik Verås Larsen,36,2012,08/12/2012,1,0,0,1
Carolin Leonhardt,27,2012,08/12/2012,0,1,0,1
Vadim Makhnyov,32,2012,08/12/2012,0,1,0,1
Michal Martikán,33,2012,08/12/2012,0,0,1,1
Ed McKeever,28,2012,08/12/2012,1,0,0,1
Beata Mikolajczyk,26,2012,08/12/2012,0,0,1,1
Daniele Molmenti,27,2012,08/12/2012,1,0,0,1
Karolina Naja,22,2012,08/12/2012,0,0,1,1
Mark Oldershaw,29,2012,08/12/2012,0,0,1,1
Dániel Pauman,25,2012,08/12/2012,0,1,0,1
Ilya Pervukhin,21,2012,08/12/2012,0,0,1,1
Roman Petrushenko,31,2012,08/12/2012,0,1,0,1
Fernando Pimenta,22,2012,08/12/2012,0,1,0,1
Marina Poltoran,24,2012,08/12/2012,0,0,1,1
Irina Pomelova,22,2012,08/12/2012,0,0,1,1
Nadezhda Popok,23,2012,08/12/2012,0,0,1,1
Yury Postrigay,23,2012,08/12/2012,1,0,0,1
Jon Schofield,27,2012,08/12/2012,0,0,1,1
Ivan Shtyl,26,2012,08/12/2012,0,0,1,1
Emanuel Silva,26,2012,08/12/2012,0,1,0,1
Dave Smith,25,2012,08/12/2012,1,0,0,1
Tate Smith,30,2012,08/12/2012,1,0,0,1
Jan Šterba,31,2012,08/12/2012,0,0,1,1
Murray Stewart,26,2012,08/12/2012,1,0,0,1
Etienne Stott,33,2012,08/12/2012,1,0,0,1
Jevgenijus Šuklinas,26,2012,08/12/2012,0,1,0,1
Gabriella Szabó,25,2012,08/12/2012,1,0,0,1
Sideris Tasiadis,22,2012,08/12/2012,0,1,0,1
Dávid Tóth,27,2012,08/12/2012,0,1,0,1
Lukáš Trefil,23,2012,08/12/2012,0,0,1,1
Adam Van Koeverden,30,2012,08/12/2012,0,1,0,1
Katrin Wagner-Augustin,34,2012,08/12/2012,0,1,0,1
Aleksey Abalmasov,28,2008,08/24/2008,1,0,0,1
Lutz Altepost,26,2008,08/24/2008,0,0,1,1
Rob Bell,30,2008,08/24/2008,0,0,1,1
Aleksandr Bogdanovich,26,2008,08/24/2008,1,0,0,1
Andrey Bogdanovich,20,2008,08/24/2008,1,0,0,1
Benjamin Boukpeti,27,2008,08/24/2008,0,0,1,1
Norman Bröckl,21,2008,08/24/2008,0,0,1,1
Yuriy Cheban,22,2008,08/24/2008,0,0,1,1
Saúl Craviotto,23,2008,08/24/2008,1,0,0,1
Hannah Davis,23,2008,08/24/2008,0,0,1,1
Marie Delattre,27,2008,08/24/2008,0,0,1,1
Torsten Eckbrett,24,2008,08/24/2008,0,0,1,1
Andrea Facchin,29,2008,08/24/2008,0,0,1,1
Fanny Fischer,21,2008,08/24/2008,1,0,0,1
David Florence,26,2008,08/24/2008,0,1,0,1
Lyndsie Fogarty,24,2008,08/24/2008,0,0,1,1
Björn Goldschmidt,28,2008,08/24/2008,0,0,1,1
Alexander Grimm,21,2008,08/24/2008,1,0,0,1
Thomas Hall,26,2008,08/24/2008,0,0,1,1
Pavol Hochschorner,28,2008,08/24/2008,1,0,0,1
Peter Hochschorner,28,2008,08/24/2008,1,0,0,1
Martin Hollstein,21,2008,08/24/2008,1,0,0,1
Josefa Idem-Guerrini,43,2008,08/24/2008,0,1,0,1
Andreas Ihle,29,2008,08/24/2008,1,0,0,1
Elena Kaliská,36,2008,08/24/2008,1,0,0,1
Tamás Kiss,21,2008,08/24/2008,0,0,1,1
Kim Knudsen,30,2008,08/24/2008,0,1,0,1
Aleksandr Kostoglod,34,2008,08/24/2008,0,1,0,1
Danuta Kozák,21,2008,08/24/2008,0,1,0,1
György Kozmann,30,2008,08/24/2008,0,0,1,1
Mikhail Kuznetsov,23,2008,08/24/2008,0,0,1,1
Dmitry Larionov,22,2008,08/24/2008,0,0,1,1
Eirik Verås Larsen,32,2008,08/24/2008,0,1,0,1
Jacqui Lawrence,26,2008,08/24/2008,0,1,0,1
Fabien Lefèvre,26,2008,08/24/2008,0,1,0,1
Artur Litvinchuk,20,2008,08/24/2008,1,0,0,1
Michal Martikán,29,2008,08/24/2008,1,0,0,1
Chantal Meek,29,2008,08/24/2008,0,0,1,1
Meng Guanliang,31,2008,08/24/2008,1,0,0,1
Beata Mikolajczyk,22,2008,08/24/2008,0,1,0,1
Violetta Oblinger-Peters,30,2008,08/24/2008,0,0,1,1
Lisa Oldenhof,28,2008,08/24/2008,0,0,1,1
Maksim Opalev,29,2008,08/24/2008,1,0,0,1
Inna Osypenko-Radomska,25,2008,08/24/2008,1,0,0,1
Aneta Pastuszka-Konieczna,30,2008,08/24/2008,0,1,0,1
Carlos Pérez,29,2008,08/24/2008,1,0,0,1
René Poulsen,19,2008,08/24/2008,0,1,0,1
Ronald Rauhe,26,2008,08/24/2008,0,1,0,1
Nicole Reinhardt,22,2008,08/24/2008,1,0,0,1
Michal Riszdorfer,31,2008,08/24/2008,0,1,0,1
Richard Riszdorfer,27,2008,08/24/2008,0,1,0,1
Antonio Scaduto,30,2008,08/24/2008,0,0,1,1
Ondrej Štepánek,28,2008,08/24/2008,0,1,0,1
Gabriella Szabó,22,2008,08/24/2008,0,1,0,1
Juraj Tarr,29,2008,08/24/2008,0,1,0,1
Sergey Ulegin,30,2008,08/24/2008,0,1,0,1
Attila Vajda,25,2008,08/24/2008,1,0,0,1
Adam Van Koeverden,26,2008,08/24/2008,0,1,0,1
Anne-Laure Viard,27,2008,08/24/2008,0,0,1,1
Erik Vlcek,26,2008,08/24/2008,0,1,0,1
Jaroslav Volf,28,2008,08/24/2008,0,1,0,1
Conny Wassmuth,25,2008,08/24/2008,1,0,0,1
Tim Wieskötter,29,2008,08/24/2008,0,1,0,1
Yang Wenjun,24,2008,08/24/2008,1,0,0,1
Juraj Baca,27,2004,08/29/2004,0,0,1,1
